商品代碼,商品名稱,時間,成交價,漲跌,單量,開盤價,最高價,最低價,成交量,買價,賣價,理論價,漲停價,跌停價,資料更新日期,買價1,買價2,買價3,買價4,買價5,賣價1,賣價2,賣價3,賣價4,賣價5,委買量1,委買量2,委買量3,委買量4,委買量5,委賣量1,委賣量2,委賣量3,委賣量4,委賣量5
TXFH8,台指期08,10424,10921,-18,1,10948,10967,10918,18064,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,13,21,34,52,23,6,14,12,20,11
TXFH8,台指期08,10425,10920,-19,1,10948,10967,10918,18065,10920,10922,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10922,10923,10924,10925,10926,12,21,39,47,23,14,13,15,16,23
TXFH8,台指期08,10428,10920,-19,1,10948,10967,10918,18066,10920,10922,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10922,10923,10924,10925,10926,11,21,39,47,23,14,12,15,16,23
TXFH8,台指期08,10430,10921,-18,1,10948,10967,10918,18067,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,12,21,34,52,23,7,15,11,20,11
TXFH8,台指期08,10435,10920,-19,1,10948,10967,10918,18068,10920,10922,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10922,10923,10924,10925,10926,12,21,39,47,23,14,12,15,16,23
TXFH8,台指期08,10442,10920,-19,1,10948,10967,10918,18069,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,8,21,34,52,23,7,15,11,20,11
TXFH8,台指期08,10446,10920,-19,6,10948,10967,10918,18075,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,2,21,33,51,23,8,15,11,20,11
TXFH8,台指期08,10450,10920,-19,1,10948,10967,10918,18076,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,1,21,33,51,23,14,15,11,19,11
TXFH8,台指期08,10453,10920,-19,1,10948,10967,10918,18077,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,20,34,51,23,67,5,13,15,11,19
TXFH8,台指期08,10454,10920,-19,5,10948,10967,10918,18082,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,16,35,46,28,67,6,16,13,16,13
TXFH8,台指期08,10455,10920,-19,5,10948,10967,10918,18087,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,16,35,46,31,67,9,17,13,16,13
TXFH8,台指期08,10456,10920,-19,5,10948,10967,10918,18092,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,16,35,46,31,67,5,17,13,16,13
TXFH8,台指期08,10457,10920,-19,5,10948,10967,10918,18097,10919,10921,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10921,10922,10923,10924,10925,14,35,51,26,67,17,13,11,18,11
TXFH8,台指期08,10505,10920,-19,1,10948,10967,10918,18098,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,5,17,34,51,26,15,14,11,18,11
TXFH8,台指期08,10505,10920,-19,5,10948,10967,10918,18103,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,15,35,51,26,65,9,16,13,11,18
TXFH8,台指期08,10507,10919,-20,4,10948,10967,10918,18107,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,10,35,46,32,65,10,16,13,16,13
TXFH8,台指期08,10509,10919,-20,2,10948,10967,10918,18109,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,8,35,45,33,65,10,16,13,16,13
TXFH8,台指期08,10509,10919,-20,2,10948,10967,10918,18113,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,4,35,45,33,65,10,16,14,15,13
TXFH8,台指期08,10509,10919,-20,2,10948,10967,10918,18115,10919,10920,11042.51,12032,9846,20180730,10919,10918,10917,10916,10915,10920,10921,10922,10923,10924,2,35,45,33,65,12,16,14,15,13
TXFH8,台指期08,10509,10919,-20,2,10948,10967,10918,18117,10918,10920,11042.51,12032,9846,20180730,10918,10917,10916,10915,10914,10920,10921,10922,10923,10924,36,46,33,65,12,14,16,13,16,13
TXFH8,台指期08,10514,10919,-20,2,10948,10967,10918,18119,10918,10919,11042.51,12032,9846,20180730,10918,10917,10916,10915,10914,10919,10920,10921,10922,10923,34,46,28,70,12,8,16,14,18,9
TXFH8,台指期08,10537,10918,-21,1,10948,10967,10918,18120,10918,10919,11042.51,12032,9846,20180730,10918,10917,10916,10915,10914,10919,10920,10921,10922,10923,37,44,24,71,16,8,13,12,18,9
